feat1;feat2;label
6.066516687328133;3.523956100238749;2
2.1209811357830173;1.043359877671101;0
2.086590462925591;7.192658689864419;1
2.3955159735215235;6.54530627260263;1
4.764034067105284;5.044475298483683;2
7.945619925771571;2.2008558610494706;3
8.589720060360644;1.7654121739476476;3
8.048838049274416;1.6134951080722668;3
1.5459879622393944;1.2938481493323541;0
5.257523843153024;6.42636574532736;2
7.202786170602817;6.700312488523114;4
7.865296582777721;7.358771127897981;4
7.242404468900724;7.683437133722262;4
7.936041204259617;6.522229779699787;4
1.5402878828830984;7.77496720250877;1
7.743066541331653;6.470393239055524;4
8.475211919093026;1.7115481721687984;3
1.6991466938853015;2.926139092254469;0
7.990491896048655;1.4987353176810956;3
2.1718091447842305;1.118479922318633;0
8.761562038634828;7.2694550218423295;4
1.3359069755507846;2.0984306179345618;0
4.642348145370016;4.839798874467338;2
1.6083733538318814;6.838969241897162;1
8.428829811601009;1.9200307350182864;3
2.0485387746740202;2.4843224952664444;0
1.0406143923504794;6.986743062275392;1
2.732824384460777;1.887111849756732;0
1.760412881077355;1.9071705116680915;0
4.603739630783649;4.44263177926655;2
8.002621849859091;7.023490296882371;4
1.963994939209833;2.501766448946012;0
5.7930084080726765;3.8810922505865753;2
7.148308780322423;6.97222615055169;4
2.1620419846973977;1.8074588597918417;0
5.343130095187257;3.693642064405174;2
2.104431797502378;1.020164938060112;0
7.339883396489679;2.915729382927177;3
8.259673257120586;2.766369456501289;3
8.162083176244222;1.9349284728161578;3
3.9874287066711966;4.593227157384714;2
2.107046872065102;6.377130610644006;1
4.613587392731214;4.381590696629996;2
8.012255087129471;2.248999145622725;3
7.347765249747574;7.334836274415019;4
1.993251387631033;1.47114453552205;0
4.705317621527894;4.9248010485105125;2
2.406758608684835;6.3845678417830225;1
7.275957829251338;1.2962681128117224;3
2.043523534119086;1.850496324767066;0
4.87371592430342;3.8761084090175753;2
7.968660451363414;7.477571160250619;4
8.288278481527882;7.155625077271768;4
4.669106767615806;4.926216667398112;2
5.58158187607748;4.5051165305097935;2
1.4688481431369476;7.23679621531759;1
8.751178526048013;7.037047390209888;4
8.273548690585018;1.898903673783053;3
7.587251401603744;1.8393070791735033;3
7.723175347326409;6.401061053705575;4
8.307083350021713;7.378753855023652;4
8.412708174494014;2.4067548180003193;3
6.071972044662663;4.816959511159006;2
1.8773059419985647;6.623131917821255;1
4.369558022832478;4.958930973527388;2
8.487559866708876;1.9264713092489307;3
7.996013679341691;7.739972069445013;4
4.757318226085448;4.540937069693161;2
7.764480847190838;2.116024968678818;3
7.734749426194736;6.71209087967766;4
1.381524644560959;6.339771693457862;1
8.340976485647483;1.844866621703272;3
4.634816684141431;4.608229294790988;2
2.1252464251729384;7.173224104748488;1
8.822483856750642;6.875481980221811;4
2.481688064622161;7.206390463468249;1
2.165631715701782;2.4877725635611796;0
6.061078098506316;5.0162326302755735;2
1.4043482513986758;7.328276804316915;1
1.961449145292948;7.170575987408322;1
1.7682911535937689;1.7671351232148715;0
2.030115104970513;8.231621056242643;1
8.725571803897521;2.4796354130426033;3
7.650137246003707;7.106989955367111;4
7.5888898022167846;2.121843605745956;3
1.2246682844669337;7.034281487403014;1
5.056758672625624;4.831065337260523;2
5.882727120140548;4.702490855480478;2
7.517538269709948;7.343025729999219;4
5.449799937716626;4.653649760438305;2
1.446832512996986;1.4018966879596646;0
1.7278086377374087;2.055461294854933;0
2.180697802754207;2.7690182832329846;0
1.5803912383886807;1.8453938120743927;0
1.5957531985534061;1.7491214782077318;0
8.814307772785646;6.309949270892554;4
1.2607390048162863;1.6400778958026456;0
2.2366188122867725;6.963585543671564;1
8.322687974792574;7.684315778766174;4
5.541525621587638;5.026901026017452;2
1.8286427417366153;6.59886136538919;1
1.7767425239664894;7.428199397161736;1
4.924107452482208;4.7941586032422885;2
7.942730077373691;2.618908155986731;3
1.6599876392107547;7.116126848580501;1
2.738947022370758;1.7408648908631763;0
5.0321400095477316;3.961127611035347;2
7.989549203017926;2.058663691654391;3
2.9328872555723784;7.236916460455894;1
5.178507742982523;4.153545202369673;2
1.6615389998470207;2.305838144420434;0
7.196776839871214;7.1017318179336115;4
8.312059908526077;2.31417275463214;3
7.676713557878736;6.459225998192802;4
4.509245674476024;4.731051737131636;2
2.2483570765056164;1.9308678494144076;0
1.882923312638332;1.8829315215254097;0
2.146536236649341;6.642824290986816;1
1.6489734530613238;1.8361689267011159;0
5.178893680174141;4.780392263184117;2
4.2403150170229935;4.257882963566875;2
7.5855024945389635;1.719909479901515;3
7.4813769228367715;6.904830660958196;4
